ID,KUNDE_ID,VARE_ID,KJØNN,FARGE,STØRRELSE
1000055,26037821062,120,F,,48
1000056,17013827222,94,M,,M
1000057,10100085009,105,M,,XXL
1000058,27128922488,98,F,,XXL
1000059,13116311229,47,M,,XXL
1000060,10106600185,112,F,,M
1000061,10100682058,95,F,,XXL
1000062,22084419684,113,M,,XL
1000063,27107021960,126,F,,50
1000064,6047749997,72,M,,L
1000065,13126021067,97,F,,L
1000066,5055520269,14,F,HVIT,50
1000067,30047721179,144,M,BEET RED,L
1000068,30036549854,61,F,FRUIT PUNCH,XXL
1000069,6073910828,102,F,MERLOT-TAUPE,S
1000070,10106000099,39,F,BLACK,45
1000071,11106421406,41,F,BLACK,XXL
1000072,31128424531,156,M,BLACK WHITE PALOMA,48
1000073,4108249779,145,M,BLACK WHITE PALOMA,S
1000074,23045612120,49,M,GRÅ,52
1000075,10117500182,35,F,GRÅ,45
1000076,31056549873,14,M,GRÅ,54
1000077,25015121141,117,F,GRÅ,L
1000078,13119900462,99,F,GRÅ,XXL
1000079,8068691851,125,M,Sort,XL
1000080,22084419684,46,M,Sort,44
1000081,10105000060,54,M,Kastanjebrun,M
1000082,23097121664,111,M,Kastanjebrun,XXL
1000083,10106011430,15,M,Sort,XXL
1000084,10104300257,96,F,Sort,XL
1000085,13119900462,109,F,Sort,75E
1000086,15016319888,126,M,Sort,48
1000087,10108600050,33,M,Sort,44
1000088,10100387072,57,F,BLACK,S
1000089,10104300257,59,F,BLACK,XL
1000090,13066819501,3,M,BLACK,M
1000091,8068691851,157,M,GREY,48
1000092,6073910828,52,F,BURGUNDER,44
1000093,27128922488,40,F,Grå,42
1000094,13066819501,7,M,Rosa,M
1000095,17013827222,146,M,Sort,M
1000096,19075019974,46,F,Sort,46
1000097,29034620421,56,M,Lilla,XS
1000098,13116311229,132,M,Hvit,XXL
1000099,17054512066,69,F,NEON RED,L
1000100,11117319646,78,F,DARK STEEL BLUE,M
1000101,30047721179,108,M,BLACK,75D
1000102,10114000294,157,M,BLACK,46
1000103,17054512066,107,F,BLACK,L
1000104,15016319888,28,M,ROSA,43
1000105,1014700230,21,M,ORANSJE,40
1000106,14077421433,43,M,GRÅ,S
1000107,17054512066,50,F,KONGEBLÅ,52
1000108,10108600050,158,M,ROSE,46
1000109,1014700230,50,M,ROSE,44
1000110,10104300257,30,F,PINK,44
1000111,17127419167,18,M,Svart,S
1000112,7077349841,60,F,Blå,M
1000113,10105500136,148,M,Blå,54
1000114,18018020862,61,F,Blå,XL
1000115,24014021406,124,F,Svart,XL
1000116,26069219488,41,M,Svart,XL
1000117,25043817909,83,M,Svart,S
1000118,10100682058,134,F,,50
1000119,50094803435,120,M,Svart,50
1000120,24036417648,32,F,Svart,40
1000121,23115627058,14,M,Blå,46
1000122,9047819765,61,F,Blå,M
1000123,10105000141,65,M,Blå,XS
1000124,24014021406,95,F,Svart,XL
1000125,10105000141,10,M,Blå,XS
1000126,11117319646,127,F,Blå,52
1000127,23026421306,66,M,Brun,S
1000128,22017519488,3,F,Marineblå,XXL
1000129,23115627058,6,M,Mørkeblå,M
1000130,10106011430,66,M,Mørkeblå,XXL
1000131,26069219488,7,M,Blå,XL
1000132,27088220361,37,F,Mørkeblå,35
1000133,4108249779,104,M,Marineblå,S
1000134,26069219488,86,M,Marineblå,XL
1000135,18018020862,70,F,Svart,XL
1000136,10105500136,14,M,Svart,54
1000137,18096221319,96,F,Brun,M
1000138,10076649893,42,M,Brun,XXL
1000139,23097121664,158,M,Grå,50
1000140,10117000279,139,F,Hvit,XXL
1000141,1097118821,53,M,Brun,L
1000142,10106011430,105,M,Brun,XXL
1000143,22017519488,128,F,,48
1000144,13057919803,152,F,Bronze,44
1000145,9047819765,151,F,Bronze,54
1000146,4108249779,14,M,,46
1000147,11117319646,71,F,Blå,M
1000148,10105000141,149,M,Blå,50
1000149,10076649893,124,M,Blå,XXL
1000150,13066819501,4,M,Blå,M
1000151,3057621213,40,F,Lysegrå,38
1000152,4108249779,158,M,Lysegrå,46
1000153,27024821108,86,F,,L
1000154,10076649893,40,M,,41
1000155,21094649908,39,F,,41
1000156,18096221319,158,F,,52
1000157,10105000141,99,M,,XS
1000158,15016319888,3,M,,M
1000159,10106011430,12,M,,XXL
1000160,10106011430,75,M,,XXL
1000161,10106000250,110,F,,XS
1000162,10106000250,48,F,,XS
1000163,1014700230,123,M,,44
1000164,23045612120,125,M,,XL
1000165,30054420680,21,F,,46
1000166,6047749997,96,M,,L
1000167,9016618850,139,F,,XS
1000168,29034620421,49,M,,50
1000169,10106011430,22,M,,36
1000170,9047819765,139,F,,M
1000171,23115627058,99,M,,M
1000172,30075423140,21,M,,40
1000173,10105014045,77,F,,XL
1000174,18096221319,63,F,,M
1000175,9056718246,132,M,,XXL
1000176,10104300257,54,F,,XL
1000177,9056718246,147,M,,54
1000178,26069219488,99,M,,XL
1000179,10106011430,57,M,,XXL
1000180,1014700230,27,M,,40
1000181,10117500182,91,F,,XXL
1000182,30075423140,105,M,,S
1000183,30047721179,68,M,,L
1000184,20114820076,9,F,,XL
1000185,10100682058,88,F,,XXL
1000186,1014700230,65,M,,S
1000187,27107021960,158,F,,50
1000188,23034218595,113,F,,XXL
1000189,22017519488,131,F,,XXL
1000190,14077421433,73,M,,S
1000191,3028711300,111,F,,L
1000192,23097121664,71,M,,XXL
1000193,23115627058,139,M,,M
1000194,4108249779,151,M,,46
1000195,17065349957,72,M,,M
1000196,24014021406,111,F,,XL
1000197,10105500055,60,M,,XS
1000198,15115720764,57,M,,XS
1000199,27128922488,14,F,,46
1000200,14077421433,16,M,,S
1000201,18096221319,97,F,,M
1000202,11117319646,29,F,,35
1000203,30047721179,44,M,,L
1000204,10100387072,66,F,,S
1000205,5107219368,39,M,,41
1000206,5087949879,76,F,,XL
1000207,10106500083,102,F,,XS
1000208,10105014045,68,F,,XL
1000209,11106421406,18,F,,XXL
1000210,6073910828,32,F,,40
1000211,25043817909,53,M,,S
1000212,5055520269,77,F,,S
1000213,31074120485,77,F,,XS
1000214,2030146134,75,M,,M
1000215,23097749981,115,F,,XS
1000216,10105014045,80,F,,XL
1000217,9056718246,23,M,,43
1000218,31128424531,91,M,,XS
1000219,10106000250,82,F,,XS
1000220,10104300257,34,F,,44
1000221,10105500055,44,M,,XS
1000222,18055113781,105,M,,XS
1000223,18055113781,4,M,,XS
1000224,13066821298,60,F,,XL
1000225,10106011430,144,M,,XXL
1000226,26069219488,135,M,,44
1000227,29098318664,63,F,,M
1000228,29098318664,43,F,,M
1000229,23077517375,72,M,,S
1000230,29034620421,123,M,,50
1000231,13066819501,51,M,,M
1000232,27024821108,64,F,,L
1000233,27024821108,147,F,,50
1000234,5087949879,108,F,,70B
1000235,16015522805,34,M,,43
1000236,15016319888,125,M,,M
1000237,23053723527,20,M,,39
1000238,31056549873,61,M,,L
1000239,27088220361,34,F,,35
1000240,8107049836,98,F,,XS
1000241,5037527132,27,F,,45
1000242,27107021960,74,F,,XS
1000243,29098318664,70,F,,M
1000244,62126000001,18,F,,L
1000245,16086520005,156,M,,54
1000246,23077517375,156,M,,52
1000247,30036549854,80,F,,XXL
1000248,3108549954,134,F,,50
1000249,9056718246,63,M,,XXL
1000250,18018020862,73,F,,XL
1000251,20114820076,76,F,,XL
1000252,62126000001,65,F,,L
1000253,27128922488,23,F,,42
1000254,10106500083,48,F,,XS
1000255,10100387072,63,F,,S
1000256,25043817909,38,M,,43
1000257,26037821062,3,F,,XL
1000258,23077517375,41,M,,S
1000259,23026421306,70,M,,S
1000260,10100387072,99,F,,S
1000261,24036417648,81,F,,XL
1000262,10105014045,97,F,,XL
1000263,27107021960,97,F,,XS
1000264,13119900462,45,F,,54
1000265,3108549954,48,F,,XL
1000266,10105500136,89,M,,XXL
1000267,22084419684,140,M,,44
1000268,13126021067,51,F,,L
1000269,9016618850,145,F,,XS
1000270,30075423140,147,M,,54
1000271,17065349957,83,M,,M
1000272,18018020862,54,F,,XL
1000273,10100387072,45,F,,44
1000274,22084419684,98,M,,XL
1000275,13066819501,64,M,,M
1000276,9016618850,26,F,,41
1000277,27128922488,47,F,,XXL
1000278,10105000141,151,M,,50
1000279,23097749981,44,F,,XS
1000280,3057621213,124,F,,L
1000281,10076649893,153,M,,44
1000282,13116311229,23,M,,37
1000283,30116822004,29,F,,36
1000284,10105014045,22,F,,36
1000285,23077517375,25,M,,41
1000286,10100387072,128,F,,44
1000287,13119900462,80,F,,XXL
1000288,25043817909,13,M,,S
1000289,23077517375,49,M,,52
